,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor
2020-03-27,1223.0000000000002,33.61730254352705,80.43,34.659023793278294,50.32,34.92600077740123,79.46000000000001,35.06027024275412
2020-03-28,1406.0,34.20070883546838,92.42,35.41712699879093,57.22,35.75953697754608,90.14,36.04195417296433
2020-03-29,1451.0000000000002,35.75085221842179,95.22,36.88845665439847,59.72,37.19650298540758,91.91,37.772698186425984
2020-03-30,1517.0,38.75072368174026,101.20999999999998,39.88079344569997,62.72,40.14049433998772,91.83999999999997,41.63668169566665
2020-03-31,2338.9999999999995,46.614654998252,156.62,48.04818686075533,97.78,48.45554519976079,146.19,49.79234366726263
2020-04-01,2981.0000000000005,52.373314201070386,200.57999999999998,53.92888502837826,123.7,54.42806849782602,185.11999999999998,56.23159354963466
2020-04-02,3506.0000000000005,60.996361871968745,235.22,62.60051406830588,149.1,63.094012090024535,217.06,64.7251668849361
2020-04-03,4047.9999999999995,62.706212538384825,271.92,64.53804064975239,170.03,65.0772448011522,246.46000000000004,67.39668530349984
2020-04-04,4466.0,66.50287454864129,295.49999999999994,68.32369664495857,186.34,68.79369101329223,269.84999999999997,71.0671836711537
2020-04-05,4620.0,66.93858182971714,310.81,68.85261096990976,193.81,69.38152446706356,269.58,73.19482703750658
2020-04-06,4866.0,67.13055875822813,323.66,69.17949348753515,201.66,69.67960045229823,273.65000000000003,74.51200908564873
2020-04-07,5682.000000000001,71.89917041990616,382.24,74.1335315971842,241.22,74.69278483943886,327.99,79.38326757388532
2020-04-08,6707.999999999998,81.36274555124332,446.92999999999995,83.60131017894614,281.4,84.12097873679528,391.2699999999999,88.72858293296996
2020-04-09,7480.000000000001,84.34881999378197,502.09999999999997,86.79969374567767,312.77,87.38777909034785,431.61999999999995,92.49955832818388
2020-04-10,8216.0,90.16522768134223,549.8199999999999,92.56461679728537,344.2,93.22718639339216,469.38999999999993,98.84055955492823
2020-04-11,8419.0,91.80656872253785,562.9599999999999,94.16091153236604,353.08,94.73663948339134,470.5399999999999,100.60144206448807
2020-04-12,8754.999999999998,92.57431740188119,587.6999999999999,95.24147648175266,368.28,95.95863922766019,492.4799999999999,102.13567974399386
2020-04-13,8895.0,91.32637885489316,595.5300000000001,93.99174631183035,370.67,94.74233201028711,494.3200000000001,102.10252719989873
2020-04-14,9371.0,92.21561799402639,625.27,94.90073604572412,393.29,95.61294683263455,468.65,106.37094510544814
2020-04-15,11043.0,101.32103394257244,739.9600000000002,104.43106778728215,464.81,105.23412858570131,539.3800000000001,117.5337081844862
2020-04-16,11567.999999999998,105.22772419564124,772.21,108.28755348327869,483.51,109.10913866122279,536.99,125.0800487728163
2020-04-17,12841.0,110.09572235472221,861.2700000000001,113.3671591811671,540.85,114.34430585214149,589.3500000000001,130.45026436047252
2020-04-18,13894.0,116.19205018095053,933.95,119.6757102558933,586.76,120.6405322652902,638.45,137.80567168474906
2020-04-19,14267.0,113.75159539340736,959.2299999999999,117.33984299693543,601.63,118.0293686102974,648.4199999999998,136.04896468521616
2020-04-20,14580.000000000002,114.18917406981925,976.3100000000001,117.83243770179533,611.34,118.74673795413277,652.6500000000001,136.63925385459112
2020-04-21,15384.999999999998,120.55012872391939,1031.51,124.27577171497883,647.79,125.15747414898374,649.27,144.70745641612336
2020-04-22,15914.0,118.36593063611478,1066.1899999999998,122.07923507031626,668.24,122.85789366318119,619.2599999999999,147.96120673673184
2020-04-23,16740.0,126.08349005578194,1120.6100000000001,129.93356442677336,704.48,131.19047512928086,618.5100000000002,156.25913732959714
2020-04-24,17826.000000000004,132.05443398596478,1196.3400000000001,135.80046588783682,750.83,136.9664471151732,646.5200000000002,164.34711685387674
2020-04-25,20004.000000000004,135.45783644568317,1344.71,139.58051925159705,845.45,140.70049344101625,781.7500000000001,168.37160869680946
2020-04-26,20715.0,138.20400307026736,1385.57,142.30797084016928,869.84,143.48056650517682,797.87,171.23813070420593
2020-04-27,21695.999999999996,144.21478650424388,1452.1600000000003,148.5933411915374,912.33,149.5739353846941,856.6300000000002,175.82499657674424
2020-04-28,24040.999999999996,146.8414935991331,1615.3799999999999,150.93655303611595,1014.51,152.02714541299605,990.1099999999999,178.29187514983525
2020-04-29,26158.0,158.78233306299947,1751.57,163.43683548371,1099.61,164.84773911985963,1011.6099999999998,193.9521773843264
2020-04-30,28698.0,161.54680405068342,1921.91,166.96573540397415,1208.42,168.3405488852579,1149.7,199.00691203670252
2020-05-01,30373.999999999996,169.20269358125336,2039.0499999999997,174.2862180872358,1280.87,175.39492271771016,1177.7799999999997,207.91295918234533
2020-05-02,31174.000000000004,171.0043162075629,2098.18,175.98766650426433,1320.6,177.76034080079887,1164.2299999999998,212.82371669263904
2020-05-03,31772.0,176.61883457681608,2135.0599999999995,181.6642665118067,1337.24,182.87467874824205,1175.8299999999995,216.2649867218875
2020-05-04,32187.0,176.43448493632837,2159.4300000000003,181.63693890491405,1353.18,183.4388322431962,1183.1200000000003,216.50972483815815
2020-05-05,34052.99999999999,171.13450259897326,2289.09,176.71736552981426,1439.12,178.00127212971816,1257.5800000000002,216.04049323020791
2020-05-06,37853.0,184.9743798803532,2536.35,190.54175477338615,1592.79,192.16785946698067,1470.16,226.2951611225365
2020-05-07,39928.0,192.1757954676821,2675.65,197.97564260190282,1680.89,199.17171727842373,1555.04,236.80600969629722
