,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor
2020-05-15,16209.0,124.39731394677185,979.5799999999999,127.67671877508334,842.87,128.23750472140244,533.54,154.4670774964783
2020-05-16,18488.0,127.7306295975,1114.2600000000002,131.53633390578338,955.78,132.15619068879724,623.0500000000002,159.61628813305282
2020-05-17,19451.999999999996,135.45340620495762,1177.4899999999998,139.31880616960962,1012.21,139.79161510092533,653.6899999999997,167.24499917332312
2020-05-18,20094.000000000004,138.03130006625238,1214.0500000000002,141.98127657539848,1042.15,142.5728248930342,679.4500000000003,169.49203640003358
2020-05-19,21242.0,142.2863473649691,1281.4899999999998,146.34416881606404,1100.92,146.80459579476607,721.7499999999997,173.98541326005676
2020-05-20,22560.0,146.1879017780289,1366.1200000000001,150.11234468311602,1171.19,150.64703756218583,769.1200000000001,180.17665230646185
2020-05-21,23911.0,148.49772572485597,1442.58,152.76880881074692,1240.06,153.33129277957107,791.81,184.61887536875594
2020-05-22,25759.999999999993,154.18620318473782,1558.1699999999998,158.18019203593494,1337.89,158.7160075497278,856.4,191.14493630422825
2020-05-23,26786.0,155.17133378392683,1614.5100000000002,159.62978709590146,1388.57,160.46493083625106,862.9900000000002,194.32452122803505
2020-05-24,27759.0,162.67074945199192,1674.8400000000001,166.92434252460822,1438.85,167.63019903129845,873.23,203.27947453362492
2020-05-25,28366.000000000004,163.6596462112142,1710.8400000000001,167.80150713858262,1470.19,168.51919682332868,879.1200000000001,202.75163463078306
2020-05-26,28854.0,163.27345903190275,1747.48,168.0071374205347,1503.18,168.6318054942259,886.09,205.00954851130248
2020-05-27,29919.0,168.20748370913103,1808.82,172.85270601225074,1552.59,173.36770136261708,908.5799999999999,214.49051848319993
2020-05-28,30713.000000000004,169.00479641750175,1865.2099999999998,173.6473464010355,1604.45,174.20323881065246,922.68,214.93437457451375
2020-05-29,32255.000000000004,171.5352453696919,1948.24,176.35859379128763,1675.88,176.9155143113243,968.6600000000001,217.72390342176973
2020-05-30,33427.0,174.6020832485898,2025.92,179.56458970172122,1739.09,180.08315794306662,911.6599999999999,222.58762097682165
2020-05-31,34450.0,183.62185506242346,2084.2799999999997,188.1000596931475,1794.15,188.6990724846459,906.79,234.07554808029587
2020-06-01,34899.99999999999,184.12907802337298,2108.3599999999997,188.818974082949,1811.22,189.57498931488132,894.3099999999995,236.2441276978481
2020-06-02,35508.0,182.32918891749927,2144.9800000000005,187.26358196753884,1844.72,187.83197473090982,863.4900000000007,237.66418509690894
2020-06-03,36463.0,187.67954097612798,2200.88,192.60891334777347,1890.45,193.3014252430905,834.76,244.19645682784332
2020-06-04,37507.0,184.62628154838586,2271.33,189.94011250492574,1952.15,190.62731661119255,828.75,243.75306210146036
2020-06-05,38511.00000000001,184.96144616015673,2327.3299999999995,190.28939819563402,2000.88,191.05119906887933,769.1599999999996,247.44904165945323
2020-06-06,39361.0,185.97465559923083,2380.62,191.5150190592177,2043.34,192.20064236430773,766.1099999999997,249.31841378754066
2020-06-07,40242.0,192.57238229881884,2435.1600000000003,198.01360514934933,2092.61,198.71302353958188,760.3200000000002,258.98479482686844
2020-06-08,40705.0,194.2916827344855,2472.31,199.86892424736263,2123.69,200.59237468009093,761.4699999999998,260.9692178740201
2020-06-09,41010.0,191.8669672750188,2483.82,197.5173043844846,2134.22,198.22289759589614,736.3400000000001,259.30577270002215
2020-06-10,41934.99999999999,201.58494612706207,2531.5300000000007,206.90275398131004,2177.06,207.75419611899662,722.7100000000007,269.6049101570817
2020-06-11,42994.0,201.5837305043252,2597.66,207.23005912280294,2232.76,207.86726486881093,732.45,270.36586011580977
2020-06-12,43872.00000000001,207.86496830997052,2651.64,213.5698542643719,2278.71,214.306436092118,703.3999999999999,276.97371040325373
