,uf,date,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate,Leitos UTI adulto,UTI adulto SUS,Uti adulto não SUS
10,RN,2020-06-13,14171.0,113.9936477053512,874.1800000000002,117.05217860924981,749.64,117.65161672145315,473.03000000000014,141.84537827643112,14171,534,3506853.0,404.0945,0.0377,526.0,306.0,220.0
11,PB,2020-06-14,28013.0,164.74926648723147,1750.94,169.35008830254802,1569.2,169.8105780217499,927.2,205.70186351743504,28013,633,4018127.0,697.16562,0.0226,536.0,372.0,164.0
12,PE,2020-06-14,45261.0,208.93467637014922,2734.760000000001,214.3618617895893,2349.13,215.28957450350217,651.5000000000008,284.8707855016433,45261,3855,9557071.0,473.58652,0.0852,1647.0,1026.0,621.0
13,AL,2020-06-14,22199.0,146.70309533823132,1235.32,150.22482944512927,1098.85,150.64350925883988,721.39,176.6204404445541,22199,744,3337357.0,665.1670799999998,0.0335,426.0,315.0,111.0
14,SE,2020-06-14,13968.0,116.57079524061892,798.14,119.37320680550684,688.18,119.84469159303764,397.17,146.00041643430305,13968,330,2298696.0,607.64886,0.0236,295.0,200.0,95.0
15,BA,2020-06-14,36401.0,188.15184443862503,2223.52,193.05184631506782,1986.97,193.54168663535145,1096.61,232.92500026507432,36401,1105,14873064.0,244.74446,0.0304,1573.0,869.0,704.0
16,MG,2020-06-15,21728.0,141.57820767649548,1478.62,145.6037166039689,1124.41,146.31645221535715,752.3900000000001,180.190529367493,21728,481,21168791.0,102.64167,0.0221,3151.0,2068.0,1083.0
17,ES,2020-06-14,26469.0,154.73531196102837,1690.44,159.93461278809153,1220.86,160.71627412205888,814.4200000000003,196.82918323185,26469,1055,4018650.0,658.65403,0.0399,804.0,406.0,398.0
18,RJ,2020-06-14,79572.0,278.008405512052,5577.96,286.1802340053441,3841.94,288.5053599768184,1837.34,369.34592607894166,79572,7672,17264943.0,460.88771,0.0964,4008.0,1247.0,2761.0
19,SP,2020-06-14,178201.99999999997,412.37373751724226,11968.66,423.69183824324415,7503.3,426.49994583110947,4622.6399999999985,539.5490696943891,178202,10694,45919049.0,388.07859,0.06,9269.0,4480.0,4789.0
20,PR,2020-06-14,9706.0,91.5093625501972,644.0600000000002,94.4949947581534,482.43,95.105042633624,331.3100000000001,117.69908952815895,9706,334,11433957.0,84.8875,0.0344,2444.0,1656.0,788.0
21,SC,2020-06-14,13359.999999999998,108.71126431929208,879.88,112.15789490668496,699.12,112.93971396235688,282.5499999999999,145.246494952407,13360,195,7164788.0,186.46749,0.0146,1064.0,760.0,304.0
22,RS,2020-06-14,14660.999999999998,116.18167504456808,1070.11,119.70653330608823,831.84,120.5574905020904,391.89,153.5320576632223,14661,350,11377239.0,128.86255,0.0239,1660.0,1015.0,645.0
23,MS,2020-06-13,3433.0,56.29377309160303,204.78000000000003,57.90850446082069,160.75,58.173725932665576,116.27000000000002,68.80911095563617,3433,31,2778986.0,123.53427,0.009000000000000001,432.0,269.0,163.0
24,MT,2020-06-14,6108.0,71.42733822889278,341.69999999999993,73.50487226344009,284.02,73.77564534766638,201.29999999999995,87.50994267319952,6108,213,3484466.0,175.29228,0.0349,591.0,208.0,383.0
25,GO,2020-06-14,7960.0,87.38122905933054,475.65,89.4677142432911,396.53,89.83307292929031,254.77000000000004,108.47551777505215,7960,216,7018354.0,113.41691000000002,0.0271,1200.0,675.0,525.0
26,DF,2020-06-14,22871.0,142.04763605597563,1341.9200000000005,145.88060635016194,950.71,146.7161109390884,765.0700000000003,176.45571457754124,22871,304,3015268.0,758.5063700000002,0.0133,997.0,261.0,736.0
