,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-30,160.0,11.739117031824355,9.139999999999999,12.05984530111679,6.97,12.134618604919922,9.139999999999999,12.277830476599732,160,3,11433957.0,1.39934,0.0187
2020-03-31,184.99999999999997,13.170183649962416,11.899999999999999,13.518718037363506,8.26,13.592208701080828,11.839999999999998,13.918036259951808,185,3,11433957.0,1.61799,0.0162
2020-04-01,229.0,14.251925264236188,14.040000000000001,14.658839440329979,10.27,14.762746144853056,13.870000000000001,15.088541407908911,229,3,11433957.0,2.0028099999999998,0.0131
2020-04-02,258.0,15.772857391830764,16.12,16.215203677506807,11.94,16.31040251811801,15.49,16.879645054672125,258,4,11433957.0,2.25644,0.0155
2020-04-03,307.00000000000006,17.23300802693963,19.020000000000003,17.70670962252913,14.32,17.803515542065437,17.300000000000004,18.660935483820555,307,5,11433957.0,2.68498,0.0163
2020-04-04,401.00000000000006,19.69280235635509,25.0,20.18804756895685,18.61,20.299634593914853,23.22,21.178958921771887,401,7,11433957.0,3.5071,0.0175
2020-04-05,445.00000000000006,19.98731921226379,28.53,20.60703834355945,20.9,20.73017195521854,25.650000000000002,21.841390578995707,445,10,11433957.0,3.89192,0.0225
2020-04-06,465.99999999999994,21.09236062577342,30.200000000000003,21.668721161334762,21.74,21.8065558208461,27.130000000000003,22.96287405462315,466,14,11433957.0,4.07558,0.03
2020-04-07,511.00000000000006,22.327887169513943,33.940000000000005,22.989661708136236,24.85,23.129462714350836,30.560000000000006,24.409806896558457,511,15,11433957.0,4.46914,0.0294
2020-04-08,550.0,22.80259155925444,36.07,23.44305615354325,26.56,23.59540806636287,30.62,25.4730586536387,550,17,11433957.0,4.810230000000001,0.0309
2020-04-09,620.9999999999999,24.230271575161115,39.69,24.93108021338146,29.44,25.129368488007422,33.89,26.885894822453658,621,24,11433957.0,5.43119,0.0386
2020-04-10,655.0,24.452551456387383,42.28,25.19333389464905,31.21,25.333179285815522,34.71,27.573255176168463,655,26,11433957.0,5.72855,0.0397
2020-04-11,688.0,25.492700480289997,45.02,26.245121028064965,34.01,26.39159483202517,37.35,28.801333039435605,688,27,11433957.0,6.01716,0.0392
2020-04-12,750.0,27.048433924679962,48.55,27.789132368207863,36.13,27.955839779512576,39.739999999999995,30.47704395247033,750,31,11433957.0,6.559410000000001,0.0413
2020-04-13,768.0,27.18854110975371,50.79,28.01363717329058,37.12,28.180302831530533,41.65,30.49924157030198,768,33,11433957.0,6.71683,0.043
