,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor
2020-05-23,5131.000000000002,69.09437697304267,289.72999999999996,71.01714039084459,250.07,71.25011810020338,199.26999999999998,81.03095240384842
2020-05-24,5314.000000000001,71.09901333330652,300.39,72.99088434160596,259.3,73.19685237064294,201.08999999999997,84.3626894468584
2020-05-25,5448.000000000001,70.07025622959294,309.01000000000005,72.09257734386257,266.23,72.37870410611679,206.93000000000006,83.60147113997263
2020-05-26,5734.999999999999,72.2447677319712,327.07,74.23460894115672,283.06,74.51961865607248,212.59,86.40005713966498
2020-05-27,5911.999999999999,71.64907183592467,338.63,73.61255052604477,292.3,73.96281224338007,211.97,88.08105480267318
2020-05-28,6155.999999999999,75.99873869235122,350.49,78.03602618552718,301.95,78.32067979038668,208.55999999999997,92.11773630205066
2020-05-29,6462.000000000001,76.80271065292138,367.1,78.7528917795173,317.12,79.03634330886243,203.82000000000002,94.23913071317963
2020-05-30,6805.000000000001,81.88175016510706,387.19,83.90502195995786,334.03,84.19347842975138,210.56000000000003,99.99132183556853
2020-05-31,6998.999999999999,82.38248195662312,401.19,84.50845894544128,345.83,84.80637200902615,213.38000000000002,101.43587742156534
2020-06-01,7233.000000000001,81.12118631212729,410.27,83.22792180925143,354.79,83.5030111354487,208.03999999999996,103.40502081278709
2020-06-02,7555.0,83.42437814384274,431.81,85.72602037122026,372.16,85.983166775171,206.35,106.35913621102588
2020-06-03,7989.0,87.53874986126274,453.56,89.6979003504136,390.6,89.98851775239288,210.35000000000005,111.10332889665905
2020-06-04,8200.0,89.46845502435171,468.35999999999996,91.66988951910243,403.93,92.03495936025855,201.33999999999997,113.88252873691886
2020-06-05,8576.999999999998,88.36322421652233,484.3,90.59734871363176,418.2,90.88652041936359,203.87999999999994,114.30146907333796
2020-06-06,8971.999999999998,93.73382581016367,507.2800000000001,96.01592316386956,436.52,96.32760300666732,217.55000000000013,119.42567450218998
2020-06-07,9289.999999999996,93.24753415647315,527.3,95.50734016955255,455.02,95.81550827638826,226.90999999999997,120.20532942940726
2020-06-08,9727.0,97.18120947357814,553.0300000000001,99.62500075155572,476.73,99.9012406066485,244.02000000000004,122.97349504193285
2020-06-09,10125.999999999998,95.93786394001972,575.85,98.63995254142074,496.79,98.96244811732244,248.78000000000003,123.45289547847877
2020-06-10,10614.999999999998,100.568691033351,600.8199999999999,103.26304864839896,517.75,103.62231765484505,262.18999999999994,126.81508116588935
2020-06-11,11055.999999999998,98.42929883264875,634.44,101.35730693288406,547.12,101.75190056547773,283.95000000000005,127.91764949183185
2020-06-12,11533.999999999998,103.82933354813805,655.3299999999999,106.56426326424119,565.74,106.99913366495312,288.2299999999999,132.5064533095912
